cur_move,dealer_card_val,player_aces,player_total,result
False,7,0,12,0.0
False,8,0,13,0.0
True,8,0,18,0.0
False,10,0,10,0.0
False,11,0,19,0.0
False,10,0,9,1.0
False,7,0,18,0.0
True,8,0,19,0.0
True,8,0,16,0.4
False,7,1,17,0.0
False,5,1,21,1.0
True,10,0,12,0.0
False,7,1,16,0.0
True,5,0,20,0.0
False,4,1,21,1.0
True,10,0,19,0.0
True,10,0,17,0.4
False,11,0,14,0.0
False,6,0,11,1.0
False,4,0,13,0.0
True,10,0,20,0.0
True,10,0,15,0.4
False,10,0,6,1.0
True,9,0,20,0.0
False,11,0,20,0.0
True,11,0,13,0.4
False,5,0,20,1.0
True,5,0,18,0.0
False,10,0,19,0.0
False,8,0,10,0.0
False,6,0,20,0.0
True,6,0,12,0.4
False,3,0,20,1.0
True,3,0,11,0.5
True,10,0,17,0.0
False,4,0,14,0.0
True,11,0,18,0.0
False,7,1,17,0.0
False,9,1,21,1.0
True,5,0,15,0.0
False,7,0,20,1.0
True,7,0,12,0.5
False,6,0,13,0.0
False,2,0,14,0.0
True,2,0,9,0.4
False,9,0,15,0.0
False,8,0,15,0.0
False,4,1,17,0.0
True,6,0,14,0.0
False,4,0,7,1.0
False,3,0,16,0.0
True,3,0,10,0.4
False,4,0,18,1.0
False,3,0,6,0.0
False,4,1,21,1.0
False,8,1,21,1.0
False,4,0,14,0.0
False,10,0,19,1.0
False,8,0,19,0.0
False,10,0,17,0.0
False,2,0,14,1.0
False,10,1,17,0.0
True,10,0,16,0.4
False,8,0,10,1.0
False,10,0,12,0.0
True,4,0,19,0.0
False,8,0,18,1.0
False,10,1,21,1.0
False,6,0,6,0.0
False,10,0,19,1.0
False,4,1,21,1.0
True,8,0,12,0.0
False,9,0,16,0.0
True,9,0,14,0.4
False,4,0,15,1.0
True,4,0,12,0.5
True,3,0,18,0.0
True,3,0,13,0.4
True,11,1,14,0.0
True,11,1,20,0.4
False,4,0,10,0.0
True,3,0,17,0.0
False,2,1,15,0.0
False,10,0,18,1.0
False,3,0,12,0.0
False,4,0,10,1.0
False,10,1,20,0.0
True,10,1,15,0.4
True,10,1,20,0.4
True,10,0,9,0.4
True,5,0,20,0.0
True,3,0,21,0.0
True,3,0,15,0.4
True,3,0,9,0.4
False,10,0,18,1.0
True,10,0,16,0.5
False,6,0,6,0.0
False,11,0,12,0.0
False,10,1,15,0.0
True,10,1,21,0.4
True,4,0,19,0.0
False,5,0,9,1.0
False,10,0,12,1.0
True,2,0,13,0.0
False,10,0,19,0.0
False,3,0,13,1.0
False,11,0,14,0.0
False,9,0,20,1.0
True,10,0,20,0.0
True,10,0,20,0.0
False,3,0,16,0.0
True,3,0,6,0.4
False,10,1,19,1.0
True,10,1,17,0.5
True,5,1,17,0.0
True,5,1,21,0.4
False,4,0,20,1.0
False,10,0,14,0.0
False,9,1,12,1.0
True,9,1,18,0.5
False,4,0,20,1.0
True,7,0,18,0.0
True,5,0,17,0.0
False,4,2,12,0.0
True,4,1,21,0.4
False,8,0,16,0.0
False,6,0,14,0.0
False,6,0,13,0.0
True,10,0,20,0.0
False,11,0,12,0.0
False,10,0,19,0.0
False,11,0,10,0.0
True,9,1,21,0.0
True,9,1,21,0.4
False,3,0,21,1.0
True,3,0,11,0.5
True,5,0,12,0.0
False,4,0,20,0.0
False,11,0,20,0.0
True,2,0,13,0.0
True,2,0,20,0.0
False,8,0,16,0.0
True,10,0,16,0.0
True,7,0,12,0.0
True,11,0,13,0.0
True,10,1,19,0.0
True,10,1,21,0.4
True,9,0,16,0.0
True,9,0,12,0.4
False,10,0,20,1.0
False,10,0,21,1.0
True,10,0,11,0.5
False,2,0,13,1.0
False,11,0,11,0.0
False,6,1,15,1.0
False,10,0,13,1.0
True,10,0,18,0.0
False,5,0,20,0.0
