,code,date,zdt,preclose,open,high,low,close,vol,pre2_price,pre3_price,pre5_price,pre10_price,pre15_price,pre30_price,pre3_ema_price,pre5_ema_price,pre10_ema_price,pre15_ema_price,pre30_ema_price,pre3_ema_vol,pre5_ema_vol,pre10_ema_vol,pre15_ema_vol,pre30_ema_vol,dapan,pre0_lasheng_rat,pre1_lasheng_rat,pre3_lasheng_rat,dadan_rat
0,SH600008,2018-01-03,涨停,38.0661,38.7981,41.8727,38.7249,41.8727,35646000.0,37.6269,37.5536,37.6269,38.7249,37.8465,38.0661,37.59025,37.57806296296297,37.823450696999565,37.80541235142082,38.09596947731582,5474505.0,5915640.370370371,6533392.864982578,6383709.145805918,7432051.081556542,0.6206683578600201,1.7985611510791,1.2618885213832098,2.89233402524646,0.07477466554311787
1,SH600020,2018-03-21,非涨跌停,18.1258,18.0877,19.9536,18.0496,19.1539,32590100.0,18.2019,18.24,18.24,18.3923,18.2019,19.4586,18.22095,18.2273,18.316876261300777,18.29559646693676,18.510620185177913,2625965.0,2754436.666666667,3347016.3086827733,3195687.0038523544,4297958.215012326,-0.29441081370188,2.34375,4.74375,7.8154941615821,0.14908182416015886
2,SH600029,2018-02-22,非涨跌停,18.8369,19.5037,20.7205,19.4203,20.6372,118981000.0,19.0536,18.6202,19.1369,19.9204,18.2201,19.0202,18.8369,18.831318518518522,19.367814103083504,19.163048662178493,19.04996266332367,78926250.0,90221248.14814818,109459686.1882853,130571664.66236539,120533849.5879433,2.1693201244452,0.16155088852989002,0.64856387554288,0.8110994570319199,0.2297164731036483
3,SH600037,2018-03-02,涨停,63.141,62.5814,69.4501,62.3779,69.4501,8647780.0,62.1743,62.2252,60.3936,59.8848,64.8201,65.685,62.19975,61.77106296296298,61.29000809045367,62.151461967711825,63.44376253593972,1568680.0,1724555.5555555557,1740400.5035201875,1831085.55784612,1579075.5743609762,-0.58730723588052,1.1111111111111,2.6912465512917,1.8686727635587002,0.03223058803098778
4,SH600050,2018-04-23,涨停,7.86609,7.9747,8.65736,7.95918,8.65736,362554000.0,8.0833,8.0833,8.48669,8.64184,8.96766,9.65032,8.0833,8.221211111111112,8.408010589465055,8.551780807202533,8.897077118028553,98743650.0,92662211.11111112,82966705.34615731,82421858.58877249,83016454.20809865,-0.11495850782489,1.4598540145985002,2.0103127301948303,2.19413625960659,0.11362228589026895
5,SH600051,2017-11-13,非涨跌停,47.4327,51.8903,52.1933,48.4713,48.731,19590000.0,47.2163,47.5625,47.2596,46.394,45.1389,,47.389399999999995,47.42788518518519,47.104715743444274,46.73278358434753,,2330575.0,2246582.9629629636,2581226.4050126285,2746487.5057168505,,0.44172573385231,0.5838198498749001,0.9185478833477001,1.4243072912308299,0.1550451750352099
6,SH600053,2017-12-05,涨停,49.77,51.1494,54.7404,50.7553,54.7404,1255070.0,53.6456,53.5799,54.0835,54.609,57.4774,68.7539,53.612750000000005,53.835355555555566,54.03320272653782,54.78247982290992,58.547351885663375,329565.5,302376.88888888893,376978.38931003277,491490.0502304814,439132.6566013078,-0.17956755130048,3.4797017398509,4.14692442542221,4.27267434531142,0.0800252496272653
7,SH600053,2018-02-07,涨停,42.588,46.8578,46.8578,46.0038,46.8578,1049870.0,45.5878,47.7117,51.3027,53.0106,53.142,54.4338,46.64975,48.2493925925926,50.08562850122826,50.873226968761585,52.03382995514134,763141.0,625545.5555555556,495807.8668521506,466318.09870020486,535515.9939368704,-1.8213686847530002,10.025706940873999,0.0,0.0,0.0
8,SH600053,2018-03-16,涨停,49.0255,49.4196,53.9302,49.3539,53.9302,3316750.0,49.6605,49.2882,48.7846,48.2153,46.1352,53.1201,49.47435,49.376625925925936,49.180554129804854,48.46215662696371,48.92377794622687,766476.5,788799.8518518519,803975.8112352944,688117.0663613619,630026.6372400704,-0.64507072381615,0.5306122448979601,1.02281897172323,2.89607843346035,0.09152394372339132
9,SH600053,2018-03-19,非涨跌停,53.9302,56.93,59.3167,55.2221,57.8496,4631830.0,49.0255,49.6605,50.0546,50.4268,46.6607,52.3537,49.343,49.51044814814816,49.51572100179323,48.61361194187281,48.81954868190256,796896.5,795989.5925925928,881077.9608833373,695128.6235514309,645113.0449620814,0.28655468301302,0.075528700906344,2.631686717947444,7.501701396731955,0.12820963554580767
10,SH600053,2018-03-27,非涨跌停,56.4483,57.3679,62.0975,56.2293,59.2948,3720660.0,56.9519,60.9808,58.2657,49.2882,49.8356,42.588,58.966350000000006,58.697107407407415,55.63550295054955,54.315238891573884,50.62494637467455,3317480.0,3304214.444444445,2703208.2024049605,2354947.8456974183,1736286.6416293513,1.0507313667262,1.7581628991747,3.8460749870868,5.70345475491432,0.1179393210445806
11,SH600055,2017-11-07,非涨跌停,210.488,208.482,231.551,208.482,227.396,1010110.0,200.314,203.18,216.649,227.109,226.679,,201.747,206.66125925925928,213.30271566028088,217.05295190029096,,348617.5,400195.2592592593,453650.8202775744,477844.21426608344,,0.74969585387291,0.24860161591049998,1.1263445626189599,2.3931719686868695,0.030305691483205055
12,SH600058,2018-04-04,非涨跌停,50.3232,49.8947,55.3698,49.8471,53.2273,4679690.0,50.466,49.1329,48.2284,50.4184,51.9419,48.7997,49.79945,49.27400740740741,49.474561124088886,49.91431517650823,49.83375929631406,1121018.5,965466.5925925926,948198.1011713387,940591.8107170926,778866.4131344261,-0.17604864834362,1.6622922134733,2.8127346913494,,0.20739124812907644
